,category,description,title,brand,asin
0,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'Economics & Economic Theory']","['REASON is edited for people interested in economic, social, and international issues. Viewpoint stresses individual liberty, private responsibility, and limited government. Some emphasis on Pacific Rim, local/state issues with national impact, science/technology. Regular departments include news/trends, book reviews (mostly history, politics, and economics), and cultural commentary.']",,Reason Magazine,B00005N7NQ
1,"['Arts, Music & Photography', 'Music']","['Written by and for musicians. Covers a variety of musical styles and includes transcriptions from recordings and solo pieces for guitar.', '', '']",,String Letter Publishers,B00005N7OC
2,"['Fashion & Style', 'Women']","['Allure is the beauty expert. Every issue is full of celebrity tips and insider secrets from the pros, like what works overnight and what works for a lifetime. Editors pick their favorite new products and reveal what new styles really work for you. Your subscription includes the annual special issues: Makeovers and Best of Beauty.', '', '']",,Conde Nast Publications,B00005N7OD
3,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Flying']","['FLIGHT JOURNAL includes articles on aviation history and contemporary practice; military, commercial and civil aircraft; notable personalities of aviation; technical aspects of aircraft; visits to air shows and museums; reports on restorations; aviation photography; three-view aircraft drawings; aviation art; and coverage of the virtual flight experiences available through computer flight simulations.']",,AirAge Publishing,B00005N7O9
4,"['Professional & Educational Journals', 'Professional & Trade', 'Transportation']","['RIDER is published for the road and street riding motorcycle enthusiast-the rider who enjoys touring, sport riding with an accent on performance, week ending and who also may use his machine for commuting. The magazine includes motorcycle, equipment, accessory and apparel evaluations; cycle related travel and adventure stories; humor and personality pieces; performance data, practical technical information, and riding techniques with an emphasis on safety.']",,EPG Media & Specialty Information,B00005N7O6
5,"['Technology', 'Computers & Internet']","['MAXIMUM PC is the ultimate upgrade for the savvy PC owners. Every month, the magazine is packed with breaking news, tons of tips & techniques, and the most in-depth reviews anywhere.', ""Designed for the rabid PC hobbyist, <i>Maximum PC</i> brings tons of news and reviews written in an irreverent, edgy style. Full disclosure is the modus operandi here, and there's an almost overwhelming amount of tech specs and features for each product that's discussed, tweaked, stretched, shaken, and stirred. Whether you want to upgrade your CPU or compare the newest motherboards and graphics cards, <i>Maximum PC</i> is a great resource for all your PC computing needs. <i>--Michael Lewis</i>"", '', '']",,"Future US, Inc.",B00005N7P0
6,"['Cooking, Food & Wine', 'Recipes & Techniques']","[""Good Housekeeping magazine, together with the Good Housekeeping Institute and the Good Housekeeping Seal, is an American icon of consumer protection and quality assurance. Every issue delivers a unique mix of independent investigation and trusted reporting, along with inspirational and personal stories. The magazine's rich tradition embodies a commitment to the modern home and to a woman's quality of life.""]",,Hearst Magazines,B00005N7QG
7,"['Professional & Educational Journals', 'Professional & Trade', 'Medicine']","['Get expert, unbiased reporting on how to live healthier, longer. Discover what works ? and what doesn?t ? from prescription drugs and alternative therapies, to disease prevention and nutrition. All from a name you can trust, with no outside advertising.', '', '']",,Consumer Reports,B00005N7PI
8,"['Arts, Music & Photography', 'Art & Art History']","['This magazine reports on the personalities, trends and events that shape the international art world. Its articles focus on art ranging from old masters to contemporary art in all genres. Regular features include reviews of books and exhibits, travel destinations, investment and appreciation advice and insights into the art world.']",,ARTnews LLC,B00005N7OP
9,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","[""America's Number One sportsman's magazine, featuring in-depth articles on hunting, fishing, outdoor adventure, and conservation news. First-class fiction, and more. Field & Stream, editorial excellence for over 100 years.""]",,Bonnier Corpiration,B00005N7Q5
10,"['Home & Garden', 'Design & Decoration']","['Country Living is your guide to creating the ultimate in country style. Each issue offers inspirational ideas on:Decorating & Remodeling, Antiques & Collecting, Gardening & Landscaping, Entertaining & Travel.']",,Hearst Magazines,B00005N7PN
11,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Golf']","[""Golf Digest is the #1 golf publication. Each issue is packed with: instructional tips and techniques, exclusive instruction from the game's hottest pros like Phil Mickelson and Tiger Woods, reviews of the top equipment, personalized instruction section, and Pocket Tips to take with you wherever you go!""]",,Conde Nast Publications,B00005N7QD
12,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","['The Archery Equipment Authority Dedicated To Providing The Most Reliable And Up To Date Information Available On The Latest Equipment For Archery & Bowhunting Enthusiasts.', '', '']",,Grand View Media Group,B00005N7O3
