,overall,reviewerID,asin
0,5.0,AH2IFH762VY5U,B00005N7P0
1,5.0,AOSFI0JEYU4XM,B00005N7P0
2,3.0,A3JPFWKS83R49V,B00005N7OJ
3,5.0,A19FKU6JZQ2ECJ,B00005N7OJ
4,5.0,A25MDGOMZ2GALN,B00005N7P0
5,3.0,A3XT9XXWXFMJ1,B00005N7P0
6,5.0,A3ERU005ES1IHT,B00005N7P0
7,5.0,AC2278WPK3EU,B00005N7P0
8,4.0,A3QRR8PSCBI07C,B00005N7P0
9,4.0,A5QQOOZJOVPSF,B00005N7P0
10,5.0,A1Z16630QMH8Q6,B00005N7P0
11,2.0,A1LN6PL2AZGKNH,B00005N7P0
12,5.0,A2FR95O3K6WZMU,B00005N7P0
13,5.0,A99B5F6XYU3CZ,B00005N7P0
14,4.0,A29248I4OWQW45,B00005N7P0
15,5.0,A26PEGXTHPZQEE,B00005N7P0
16,5.0,A3RSVR9ELA3U2E,B00005N7P0
17,5.0,A2OVVHUNFT2TN7,B00005N7P0
18,3.0,A3JD68LUCW99NX,B00005N7P0
19,5.0,A1ZK8IKYH42IML,B00005N7P0
20,2.0,A4ZMLYRYQ5K87,B00005N7P0
21,5.0,A18RZ5Z6XECUNN,B00005N7P0
22,5.0,A2BYKOY63IFCCQ,B00005N7P0
23,5.0,AXCTTRMTBSV5J,B00005N7P0
24,4.0,A3VGQU7L9OUI53,B00005N7P0
25,2.0,APL636FJR8MRR,B00005N7P0
26,5.0,A2GMZZ6TDYOHY7,B00005N7P0
27,2.0,A1XUVLLZB9JBTE,B00005N7P0
28,5.0,A22ZI4FO8J3W0,B00005N7P0
29,3.0,A3S6J9C92KUL83,B00005N7P0
30,5.0,A3MSSOG2DS98OQ,B00005N7P0
31,5.0,AE7AJCGIUDVK3,B00005N7P0
32,5.0,AF26G326ZZ2OY,B00005N7P0
33,5.0,A2QB8GZ8P7Y2RD,B00005N7P0
34,5.0,A38PH87F2DLJ6S,B00005N7Q1
35,5.0,A3556UAMASCD0B,B00005N7Q1
36,4.0,A1RO4VUZRWN5AD,B00005N7Q1
37,4.0,A38GVPHBWCYKBT,B00005N7Q1
38,5.0,A1LPAB56PI3B1X,B00005N7Q1
39,5.0,A2Q92TFD3JY9B1,B00005N7Q1
40,5.0,A20SJRN4G2XENN,B00005N7Q1
41,5.0,A19BA4RPOKQXZH,B00005N7Q1
42,5.0,AU4D1G5QOEB6O,B00005N7P0
43,5.0,A2SI78R33PC5JR,B00005N7P0
44,5.0,A3PQQVU8NHR7PM,B00005N7P0
45,5.0,ALWIPFLEEH17M,B00005N7P0
46,1.0,A90UMUUG7DFCU,B00005N7P0
47,5.0,A1RW9ZBFC9UYYA,B00005N7P0
48,5.0,A2AA9P4FGO629Q,B00005N7P0
49,5.0,AWBKHL9Z878SZ,B00005N7P0
50,5.0,AKZFA72JANYIK,B00005N7P0
51,4.0,A2WBTUZ7LVTBSX,B00005N7P0
52,5.0,AXTSIREG6PYVF,B00005N7P0
53,5.0,A1TFF756I2CZ67,B00005N7P0
54,5.0,A1UJBEQ1N2O99C,B00005N7P0
55,5.0,A2R8LO91TXJIY2,B00005N7P0
56,5.0,AG8DY3XFNJDD9,B00005N7P0
57,5.0,ADYZH6B2X5Z7,B00005N7P0
58,5.0,A1KMDZ8E5VN0R1,B00005N7P0
59,4.0,A2H89DWNYWFN4L,B00005N7P0
60,2.0,A2LQJV5DI4OZFM,B00005N7P0
61,5.0,A1TFAX2TH4XA00,B00005N7P0
62,5.0,ACB3VEWUWO53G,B00005N7OD
63,5.0,A2UKDI5CNRDHMU,B00005N7OD
64,5.0,A2NLFLB5477RXR,B00005N7OD
65,5.0,AIF6EU76IRWZF,B00005N7OD
66,5.0,A2IQ1OM6JPY3QM,B00005N7OD
67,5.0,A1Y4463V55P6B,B00005N7OD
68,4.0,A3NX5T8BX69XMJ,B00005N7OD
69,4.0,A3UADM23L9MDPS,B00005N7PS
70,5.0,A5RHZE7B8SV5Q,B00005N7PS
71,1.0,A1IWT6KM1X8PNS,B00005N7PS
72,1.0,A22X4XUPKF66MR,B00005N7PS
73,1.0,A1RPTVW5VEOSI,B00005N7PS
74,1.0,AWGAHK04B1SO4,B00005N7PS
75,2.0,A2S166WSCFIFP5,B00005N7PS
76,4.0,AMPQ8PP6MUQTM,B00005N7PS
77,5.0,A3A3RQ7Z8TBTDS,B00005N7PS
78,5.0,A26YS0RMVHKMWC,B00005N7P0
79,5.0,A1VSRD793L412B,B00005N7P0
80,3.0,A2T4XPDLZBP7XN,B00005N7P0
81,5.0,A3J9VLYYT8BKGW,B00005N7P0
82,5.0,A9DZTPUER694B,B00005N7P0
83,5.0,A10YMCG6O18Y9S,B00005N7P0
84,5.0,A2O6HZ2B9YSRXR,B00005N7P0
85,2.0,A1QFC3ZKIIRG4J,B00005N7P0
86,5.0,A1CZ17TQRK6JGJ,B00005N7P0
87,5.0,A2VOYJS8XNBN6U,B00005N7P0
88,2.0,A2WQQTKC1NNT7R,B00005N7P0
89,5.0,A12NS74IM0JYGG,B00005N7P0
90,4.0,AMFC4HUS3D16W,B00005N7P0
91,5.0,A25NO0WDZACFUM,B00005N7P0
92,5.0,A1ZVFFM4JONY3I,B00005N7P0
93,5.0,AJSZZ4EBYE9YX,B00005N7P0
94,3.0,A1RPKD9E294OTX,B00005N7P0
95,4.0,A2QFUUR52KZI9Z,B00005N7P0
96,5.0,A3P55836AE5VRY,B00005N7P0
97,5.0,A3KMILYR935CHF,B00005N7P0
98,1.0,A112OID07NKUTM,B00005N7P0
99,5.0,AXO0BHQFBSMJO,B00005N7P0
100,4.0,A13L1VQHJHSW6G,B00005N7P0
101,2.0,A1KL17ER98VUHC,B00005N7P0
102,4.0,A15BN1AMRT8FP1,B00005N7P0
103,5.0,A1VKU9PDT5ZKHY,B00005N7P0
104,4.0,A1YLVUBTV7XGBP,B00005N7P0
105,4.0,A3C8EO3XJ8M1SQ,B00005N7P0
106,3.0,A150VD7UM1NVL7,B00005N7P0
107,5.0,AXH62CD4Y821V,B00005N7P0
108,5.0,A3H4Z52P36CXVE,B00005N7PS
109,4.0,A1P57DBMNB13KE,B00005N7PS
110,4.0,A21GM3ZIG7SJTN,B00005N7PS
111,5.0,AXURLO7NJQOTC,B00005N7PS
112,5.0,A29T69AEGP3GDG,B00005N7PS
113,5.0,A2M3D4GQNTMIIE,B00005N7PS
114,3.0,A2H7KHOL5W3QQY,B00005N7PS
115,4.0,A1N8F912MQRIE2,B00005N7PS
116,1.0,A1SFRBCMW8XVBW,B00005N7PS
117,3.0,A2P1CE9CC6BRVF,B00005N7PS
118,1.0,A3IPPP622UF6N1,B00005N7OD
119,1.0,A6WPF246AIY4F,B00005N7OD
120,1.0,AVCN3H0YMAT47,B00005N7OD
121,1.0,A2TXDJ50XSFIB4,B00005N7OD
122,2.0,A2CLBWY7QIDMHG,B00005N7OD
123,1.0,A3NNFQ3KV5SD5S,B00005N7OD
124,5.0,A4JRH82051L9F,B00005N7OD
125,1.0,A3EQV0ZSI01BV9,B00005N7OD
126,3.0,A1MWFQI1XVFV2S,B00005N7OD
127,1.0,ALJQ038O7TAE4,B00005N7OD
128,5.0,A1KW68OP8JGZN7,B00005N7P0
129,5.0,A2UJDH31NU6LGI,B00005N7P0
130,3.0,A1D4W34E41UINV,B00005N7P0
131,5.0,A1IU9VPCBKZPE8,B00005N7P0
132,5.0,A22IABOCSE7G43,B00005N7P0
133,2.0,A3O1FXCO5LZHKP,B00005N7P0
134,4.0,A3UPY133KOTFJC,B00005N7P0
135,5.0,A303X6GZK08WUT,B00005N7P0
136,4.0,AQZRBU1UWMYED,B00005N7P0
137,5.0,AVKZ6PSXX72A7,B00005N7P0
138,1.0,A3SFHMKLO59SNB,B00005N7Q1
139,1.0,A12W92HKRTD08F,B00005N7Q1
140,2.0,ARRAW6GZDZXY1,B00005N7Q1
141,5.0,A2C25ATIV2IGMK,B00005N7Q1
142,5.0,A3JEHMYNXU7FFC,B00005N7Q1
143,5.0,A1M0OAGTV212R7,B00005N7Q1
144,5.0,A2EJP9H6G3BPAV,B00005N7Q1
145,5.0,A3FCON8N6PJIZB,B00005N7Q1
146,4.0,A1WJ56EUJGZVF,B00005N7Q1
147,4.0,AJR5YI0AJK93J,B00005N7Q1
148,1.0,A28C5VS2EF7YJG,B00005N7PS
149,5.0,A3NLVHGP3D7ADP,B00005N7PS
150,5.0,A19IVUFYLY47F2,B00005N7PS
151,2.0,A29KU0K1YN0XU5,B00005N7PS
152,4.0,AM0T0AKLN5GZB,B00005N7PS
153,5.0,A5BZBD7CYCD2P,B00005N7PS
154,5.0,AB00KQZ88BSAZ,B00005N7PS
155,3.0,A2BUY0H9SOVBH3,B00005N7PS
156,5.0,A317FCZV1PG81T,B00005N7PS
157,3.0,AHRWSHIMCV963,B00005N7PS
158,5.0,A9Q28YTLYREO7,B00005N7OU
159,5.0,A1I0HUXO5KWN8O,B00005N7OU
160,4.0,A1WGY6MZDZ1H9J,B00005N7OU
161,5.0,AOMZTGO51ONDA,B00005N7OU
162,3.0,A2MDVO0ET00EAE,B00005N7P0
163,4.0,A7VC3OHVCH47B,B00005N7P0
164,4.0,ASN6C11MUMR4V,B00005N7P0
165,1.0,A1EHWT1K3VRVKS,B00005N7P0
166,5.0,A2CVQ25SHQFVX9,B00005N7P0
167,3.0,A21RTS6ZW1JPR0,B00005N7P0
168,1.0,A23SRTTBUVVDX6,B00005N7P0
169,4.0,A21ML571MPRGXC,B00005N7P0
170,5.0,A2Q9S20S0B0O1,B00005N7P0
171,5.0,A36QWEKKZUUUB2,B00005N7P0
172,5.0,A2YJCKPVSNIEX,B00005N7PS
173,5.0,AJIHQ3ZRRTBG8,B00005N7PS
174,3.0,A3LIRKSHS4F9SV,B00005N7PS
175,1.0,A1Q0W1J23FLMAC,B00005N7PS
176,5.0,A2TMP0M3JIKJC6,B00005N7PS
177,5.0,A1LUVA73FSGEVI,B00005N7PS
178,5.0,ALXN5D0NNEAY1,B00005N7PS
179,5.0,A2I2X57GERB4QA,B00005N7PS
180,4.0,A3PDEDVXA8A95F,B00005N7PS
181,1.0,A2ZWTFZRNQW7D5,B00005N7PS
182,1.0,A32NYM0DCZ6R1M,B00005N7P0
183,3.0,A2GMT03J28BHYF,B00005N7P0
184,4.0,A2E9Y9YI3TDWCE,B00005N7P0
185,4.0,A2YW6XOID7GV6G,B00005N7P0
186,1.0,A2FXNQ08KMSKA3,B00005N7P0
187,5.0,A2MS4YH4XF6V5C,B00005N7P0
188,1.0,A3L2UZLJZKDUTY,B00005N7P0
189,1.0,A3UFFPJ1ESYFMP,B00005N7P0
190,4.0,A1NMSGYZ92BROQ,B00005N7P0
191,3.0,ALPYY8JY6L3OS,B00005N7P0
192,5.0,A1DP64ZVZJUR8P,B00005N7OD
193,1.0,A28HPOK8C39CO1,B00005N7OD
194,1.0,A2O9QY55VEKGDH,B00005N7OD
195,1.0,A3IO33DUTSRSFS,B00005N7OD
196,1.0,A3ILJS3Q5FGW7X,B00005N7OD
197,1.0,A2X77RJOP1BFCG,B00005N7OD
198,2.0,A2XU18GW8RXVJL,B00005N7OD
199,1.0,A3QIHUOV5IAT0N,B00005N7OD
200,1.0,A3OWTNY9H7KFQR,B00005N7OD
201,4.0,A1RVM6W2YI7568,B00005N7PS
202,3.0,A272P1S54T9E9E,B00005N7PS
203,3.0,A1U8U70F7V110U,B00005N7PS
204,4.0,A1JR6ZJNS7823N,B00005N7PS
205,3.0,A218NYHPQ2RTXL,B00005N7PS
206,4.0,A1WAWNUDPXI23R,B00005N7PS
207,2.0,ANU0F060RSB4D,B00005N7PS
208,2.0,ANTNA7JTP686X,B00005N7PS
209,2.0,A2W7ZNYNSPS619,B00005N7PS
210,2.0,AJ83E5N06MC0T,B00005N7PS
211,1.0,ASI8MJYHJFXZV,B00005N7Q1
212,1.0,A37ISCWSAR0R9L,B00005N7Q1
213,1.0,A15INOMS30BOUT,B00005N7Q1
214,5.0,A1CTAJQ6N3SOVI,B00005N7Q1
215,5.0,A2VG8N7ALVYAVL,B00005N7Q1
216,5.0,A3GHUXTBNEA9PI,B00005N7Q1
217,5.0,A1063BS4W8YHHE,B00005N7Q1
218,5.0,A395PV75EKIAH6,B00005N7Q1
219,2.0,AZWVOET8QZZV8,B00005N7Q1
220,5.0,A3EMIWWUA5LN9Q,B00005N7Q1
221,4.0,AS2TX7V9Q255X,B00005N7P0
222,5.0,AJVRD3EFV3H4Z,B00005N7P0
223,5.0,A2KIU9UIY5XTB2,B00005N7P0
224,1.0,AC6X7K4U2BGQ4,B00005N7P0
225,5.0,AWNHZ6IV8M5CN,B00005N7P0
226,5.0,AKFPNQ66DXCZQ,B00005N7P0
227,5.0,A37UA16QMYVL5K,B00005N7P0
228,1.0,A2BUCI6OL59FNB,B00005N7P0
229,5.0,A6AAHFTNBWB21,B00005N7P0
230,5.0,A2LZ4EVZADL3H2,B00005N7P0
231,5.0,A2HJGGKX81RBXR,B00005N7OU
232,5.0,ASN09SCHJXOJV,B00005N7OU
233,5.0,ABPATAYAWXXAI,B00005N7OU
234,5.0,AJ0YDAXX2FC6K,B00005N7OU
235,4.0,A1SP8HCJ1MCE89,B00005N7OU
236,4.0,AMVC9WTXYKNJ1,B00005N7OU
237,5.0,A371E0L0B0YJGM,B00005N7OU
238,1.0,ABV5HC4QO4PBW,B00005N7OU
239,5.0,A2EP2X24WFLG4I,B00005N7OU
240,5.0,A2S8UGUCJH1C9S,B00005N7OU
241,5.0,A24H37KH8IY24V,B00005N7PS
242,3.0,A297VPKPW55X67,B00005N7PS
243,4.0,A1DOX1RVD5KVMH,B00005N7PS
244,1.0,A28X7NZ02016FO,B00005N7PS
245,5.0,ACH7QV21BRXLY,B00005N7PS
246,4.0,AG6TX1ZJHLMO7,B00005N7PS
247,2.0,AMP7TQRWAIE84,B00005N7PS
248,2.0,A3G7WKGHLBOSGG,B00005N7PS
249,5.0,A52Y39SZ0HMRX,B00005N7PS
250,5.0,A1T61QP7QHYBRQ,B00005N7PS
251,3.0,A3DZ8MTKQA3CFB,B00005N7OD
252,4.0,A1CD786520G3KL,B00005N7OD
253,1.0,A3P8ZUU02GP09Y,B00005N7OD
254,2.0,A3ML8FZ1KM3ZRP,B00005N7OD
255,2.0,A2OE6AHC8L9HPE,B00005N7OD
256,4.0,A2FJQ9BKUADZ0A,B00005N7OD
257,3.0,A1CRRNTUH7GU6A,B00005N7OD
258,4.0,AMOTWVOJIP2CT,B00005N7OD
259,4.0,A1T1I2M7Y2XMED,B00005N7OD
260,5.0,A4EG0NT5BJRUF,B00005N7OD
261,4.0,ABV3OEEYJCVHK,B00005N7P0
262,4.0,A27JBL1VC49N7Q,B00005N7P0
263,5.0,A3774MBQJ66HJS,B00005N7P0
264,1.0,A2D43UG785VLEY,B00005N7P0
265,5.0,A5KU8WCPNIC1S,B00005N7P0
266,4.0,A1YVCGV8G16OMM,B00005N7P0
267,3.0,A7J7RCN3ORSZI,B00005N7P0
268,5.0,A3OIE7IE9LTPJG,B00005N7P0
269,5.0,A1XYDI6ZZX12AV,B00005N7P0
270,1.0,A1047EDJ84IMAS,B00005N7P0
271,2.0,AMNTZU1YQN1TH,B00005N7OU
272,5.0,A1MVH1WLYDHZ49,B00005N7OU
273,3.0,AXPAIEE0732A9,B00005N7OU
274,5.0,A2865IOZJSFJGX,B00005N7OU
275,5.0,A39W0UH2F3QK3I,B00005N7OU
276,1.0,AK2RNPCHB83EW,B00005N7OU
277,3.0,AF5FTJL71VB7L,B00005N7OU
278,4.0,A1XRDY1BS66TDR,B00005N7OU
279,1.0,A15BNULICMH470,B00005N7OU
280,1.0,A3VWOBQT9220I9,B00005N7OU
281,1.0,A707PRZBQ1MB2,B00005N7OU
282,5.0,A23ERQBHXIZLY6,B00005N7OU
283,4.0,A20UFOPYGGHHZ,B00005N7OU
284,5.0,AMG4ZO3GV71YZ,B00005N7OU
285,3.0,A3BMI7JSJDKFGP,B00005N7OU
286,4.0,A1RPTVW5VEOSI,B00005N7OU
287,5.0,A2N0SJHO52I0Y7,B00005N7OU
288,5.0,A1PXDS5P5TRZWN,B00005N7OU
289,1.0,A25B533O9AHQIP,B00005N7OU
290,3.0,ARLZ8GX3R73UZ,B00005N7PS
291,1.0,A3TD6RN8H7LCDG,B00005N7PS
292,3.0,AAEK6VH8PJNI4,B00005N7PS
293,5.0,AIHMQ6AYIAQJM,B00005N7PS
294,5.0,A343N4XW41HI51,B00005N7PS
295,5.0,ARRHW854LWOUS,B00005N7PS
296,3.0,A3JPFWKS83R49V,B00005N7PS
297,1.0,A2MAEZZDJP1J11,B00005N7PS
298,4.0,A3HGNSFKJXXY59,B00005N7PS
299,4.0,A3CJ7MHAS9IMAM,B00005N7PS
300,5.0,AAOUREH4NQ5DH,B00005N7OD
301,2.0,A2J7BW25IA6JHM,B00005N7OD
302,1.0,A2MEE3O0DW81ZL,B00005N7OD
303,5.0,AFDVXQW2KWBH2,B00005N7OD
304,5.0,A152XNPECZWAGG,B00005N7OD
305,5.0,A1Z9FJJUPPPQSQ,B00005N7OD
306,2.0,A1ZVXQ53X4EEXH,B00005N7OD
307,5.0,ADP818Z34AMC4,B00005N7OD
308,5.0,A3MXKD0CYH4GBJ,B00005N7OD
309,5.0,A3EWJIRBK66Q4I,B00005N7OD
310,5.0,A1ADML3GGODP5Q,B00005N7OD
311,5.0,A1AMC805GZTNM6,B00005N7OD
312,2.0,A37VR2T39FLDIR,B00005N7OD
313,4.0,A2AJUQCBACY31J,B00005N7OD
314,4.0,A1XQ87OTM9JY2H,B00005N7OD
315,5.0,A23H7UMFS5P6ER,B00005N7OD
316,5.0,A3B2YL5LQJ2ISF,B00005N7OD
317,5.0,AADC8J7H4ACIV,B00005N7OD
318,5.0,A24J0CAOSMMENN,B00005N7OD
319,5.0,A1IRUBACUZ943C,B00005N7OD
320,5.0,A2W9CHAKYOU46O,B00005N7Q1
321,5.0,A1JCR9WYOV43X,B00005N7Q1
322,4.0,A3MT9MSEVRQMOT,B00005N7Q1
323,5.0,A1VB1AFEZ4WBW5,B00005N7Q1
324,4.0,A3CTKN5MAAD3CM,B00005N7Q1
325,5.0,A1NIB472PUF163,B00005N7Q1
326,5.0,A1WFZ245LKRB2M,B00005N7Q1
327,1.0,A1PP1Q0QQG2ZZJ,B00005N7Q1
328,5.0,A2E6PCE0GRSUOQ,B00005N7Q1
329,1.0,A3N5HGARPVPF3J,B00005N7Q1
330,5.0,A1HZAJT0TI4IWO,B00005N7P0
331,5.0,AYZ8W4UV3GVGE,B00005N7P0
332,4.0,ABRZKXNIS0ML9,B00005N7P0
333,2.0,A2YJ1K8M0KPHMF,B00005N7P0
334,4.0,A345095Z6SDQR2,B00005N7P0
335,4.0,A1JLCHK0T0RJVT,B00005N7P0
336,5.0,A146BM425EVTP1,B00005N7P0
337,5.0,A3MWMO2IOQDWBJ,B00005N7P0
338,5.0,A3GNC0FJTH7ZO3,B00005N7P0
339,5.0,A9QMGJRB8IRTO,B00005N7OD
340,5.0,A2EJ04BP03ZV0K,B00005N7OD
341,1.0,A1DPEQ3EM1JEZQ,B00005N7OD
342,3.0,A2D0KBNT5DCJYN,B00005N7OD
343,1.0,A100NRVPI4UOH,B00005N7OD
344,5.0,AHFBEPUXHLGH7,B00005N7OD
345,1.0,A2WWEL90ER3G9O,B00005N7OD
346,4.0,A2MNSMO1CGFNSY,B00005N7OD
347,5.0,A3OKUJ6D3AGUCB,B00005N7OD
348,5.0,A1PBWK0ORTUUR4,B00005N7OD
349,5.0,A3GR5XP7LMRSZ2,B00005N7P0
350,5.0,A1BHON6PATERKP,B00005N7P0
351,4.0,A3JPFWKS83R49V,B00005N7P0
352,5.0,A2VW8DGPS5THR5,B00005N7P0
353,4.0,A3PYBQ4AEZ03YR,B00005N7P0
354,4.0,AGE30NTN3QEV0,B00005N7P0
355,5.0,A1HV2KNGP2W9TN,B00005N7P0
356,5.0,A3AK60HTYFPO2N,B00005N7P0
357,5.0,A1EPAO8ZVDM171,B00005N7P0
358,5.0,A3P269G4952ACS,B00005N7P0
359,1.0,A26GGBBXHBJZXA,B00005N7P0
360,4.0,A1088JT1L28OP5,B00005N7P0
361,3.0,A1KWU1E5LP2LPQ,B00005N7P0
362,5.0,A3TPA3JLPCX8RC,B00005N7P0
363,5.0,A33UAXEULFG6Z0,B00005N7P0
364,1.0,A44G24P5UOL70,B00005N7P0
365,1.0,A31BJ3UCRVMNAH,B00005N7P0
366,4.0,A3LBBZE985UAXH,B00005N7P0
367,1.0,A3I1KGZ35DYLRJ,B00005N7P0
368,4.0,A1YTRV2VXFGHNS,B00005N7P0
369,5.0,A3PN0PK6SGYUWC,B00005N7OD
370,5.0,A34M3PLFOEF3Z8,B00005N7OD
371,5.0,A1GYM75Q4H61N0,B00005N7OD
372,5.0,ATM4LQHO9NZMC,B00005N7OD
373,5.0,A2KDSG7103VL54,B00005N7OD
374,5.0,AOBBK6688904Z,B00005N7OD
375,5.0,A2Z3BSFX2G7AI0,B00005N7OD
376,5.0,A2J0IY1Q2IK51I,B00005N7OD
377,5.0,A1RKF90QFB5IGZ,B00005N7OD
378,3.0,A3BUKKL2420AZB,B00005N7OD
379,5.0,A1RUQFDAQOJD3F,B00005N7Q1
380,5.0,AKQA0OYJ24M19,B00005N7Q1
381,2.0,A3EGRGEJSRD9U3,B00005N7Q1
382,5.0,ALW8UEBARBI6G,B00005N7Q1
383,5.0,A2XAPNXTNHQPD5,B00005N7Q1
384,5.0,AY3Y6UP7NSH42,B00005N7Q1
385,5.0,A37N8KAZSDUKKO,B00005N7Q1
386,5.0,ASWUDB3XHZN77,B00005N7Q1
387,5.0,APA9T81ZYK2OF,B00005N7Q1
388,5.0,AV8MS8SJZYVRJ,B00005N7Q1
389,5.0,A3FB5EVLOCJ7G8,B00005N7OD
390,5.0,AF56AGX1O9MNO,B00005N7OD
391,5.0,A2GY8ZF9GMC9Y,B00005N7OD
392,5.0,A2UDUR1SPJFZSF,B00005N7OD
393,5.0,A33U4FKUN1T3B,B00005N7OD
394,5.0,A3KQXBK8QIX87F,B00005N7OD
395,5.0,A1O626RCX1G3J0,B00005N7OD
396,4.0,A26UR7Y13X4SGB,B00005N7OD
397,4.0,AWWROYCOGPXUI,B00005N7OD
398,5.0,ASX04FFHZIVZ5,B00005N7OD
399,5.0,A3OMSW88HWF25T,B00005N7P0
400,2.0,A1FYS18SEUA0A7,B00005N7P0
401,5.0,A2R8DUN757XKBI,B00005N7P0
402,5.0,A44RNWWIZRUZM,B00005N7P0
403,5.0,ANT7FZFIQG5RL,B00005N7P0
404,4.0,A3JJNSW1XHXX9B,B00005N7P0
405,5.0,A19YK9YYRBKHEX,B00005N7P0
406,5.0,AXW444VIV75UF,B00005N7P0
